reviewId,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app
f97ba6d2-4d7c-4aab-ae45-a847584972cf,was using stocard everyday. without any notice the app stopped working last week. lost all my cards.,1,0,25.29.239,2025-07-27 12:10:19,"Hello and thank you for your review.
The loyalty card widget is now available in the Klarna app with the latest update (version 25.10.300).
Make sure you're updated to the latest version.
Go to the ""Loyalty Cards"" section, select the cards, and add them to start collecting points.
Best regards.",2025-07-27 12:30:43,25.29.239,Klarna
e325f04e-0b7b-45ae-9013-a01a016baeab,Zero (0) of my cards transfered from Stocard. You reffered me to Stocard but you know they have deleted all their data and are no longer operating nor replying to emails. Uninstall.,1,0,25.29.239,2025-07-27 12:03:24,Thank you for the review. we understand that your cards were not properly mitigated to your Klarna account. Please contact our team via email at support.stocard.eu@klarna.com and they will be able to assist you with this and retrieve all your cards. Apologies for any inconvenience caused to you by this.,2025-07-15 23:49:02,25.29.239,Klarna
f26beb63-d371-4759-8af7-cf4e0bf7421f,"Nobody should use it. They ruined(acquired) the best app Stocard and lost all my loyalty cards on transfer. Complete losers, keep your information away from them",1,0,25.29.239,2025-07-27 06:28:26,"Thank you for the review. We understand that your cards were not properly mitigated to your Klarna account. Please contact the responsible team via email at support.stocard.eu@klarna.com they will be able to assist you in retrieving all your cards. We want to sincerely apologise for this inconvenience and any stress this might have caused you.
",2025-07-27 06:49:25,25.29.239,Klarna
eed09a6f-c72a-4662-bd81-8d19d73a01d6,This Klarna app is garbage. When they switched over from Stocard I have had nothing but problems and now the app won't even open no matter how long I leave it and. I am now on the hunt for a new app because I will definitely NOT be using this one anymore. Garbage!!!,1,0,25.29.239,2025-07-27 05:22:54,"Thanks for the review. We are sorry to hear that you are having issues with the App's performance. We kindly suggest reinstalling the App and resetting your phone to determine if this issue persists. If it does then we would suggest clearing your cache and cookies and testing via incognito browser while we work to address the App performance.
",2025-07-27 05:43:29,25.29.239,Klarna
1bcfeb1b-ca54-4883-9c12-34df63e6e8c4,"Absolutely horrendous, cannot transfer years of Stocard data. Did not receive an email about the closure and they've cut off all transfers as of July 1. Support says no exceptions are possible. I will be avoiding Klarna altogether going forward.",1,0,,2025-07-27 01:22:31,"Thank you for the review. We try to innovate our application for a better outlook of your shopping experience. If you would like you can always leave feedback, please let us know via this link: https://klarna.com/us/customer-service/how-can-I-make-a-formal-complaint-to-klarna/
",2025-07-27 01:41:27,,Klarna
445e3692-9cfb-48f9-aefa-ffa9dffbfc19,"This is the worst buy now, pay later app. Once you send money to your Klarna account, they wont send it back or allow you to transfer the funds back to your bank. This is the only app I've come across that does this. Im suing Klarna for $55. Theyre fighting to keep $55, which tells you how bad of a company Klarna is.",1,0,25.30.226,2025-07-27 01:06:41,Hello John we're sorry to hear this and want to assure you we are here to help get your funds returned to you. Please give us a call on (888) 518-2771 and an agent will take a look for you. Thanks.,2025-07-27 09:08:39,25.30.226,Klarna
cdcf54f7-6b02-4dae-928d-f654c4b993b6,I would really like to be able to use this app with my android. I have called customer support and they have no idea why it isn't working with my android. this is frustrating,1,0,25.29.239,2025-07-27 01:05:18,"Thank you for reaching out. We do apologise for the frustration caused by this. Please visit our website and select the Customer Service tab and scroll until you see the ""Can't Sign In?"" option which includes directions on how to reach us so you can regain access to your account.
",2025-07-24 00:43:39,25.29.239,Klarna
c593ef95-3665-4d9e-817f-87decf61527e,When this was StoCard it work virtually flawless. This pile of dung wouldn't even open. cleared cache and it got stuck on the logo. Uninstall and reinstall. it got further but it hangs in the sign in part. Looking for another app.,1,0,25.29.239,2025-07-26 23:58:00,"Thank you for the review Cory. We do apologise for the frustration caused by this. Please visit our website and select the Customer Service tab and scroll until you see the ""Can't Sign In?"" option which includes directions on how to reach us so you can regain access to your account.
",2025-07-27 00:05:27,25.29.239,Klarna
6b0467d8-8d53-4997-997e-434d6b79371f,👎,1,0,25.29.239,2025-07-26 22:27:27,"Hi Les, we're saddened to hear that you've had some trouble recently and we absolutely want to make it up to you. If you could, please reach out to us via this link https://www.klarna.com/us/customer-service/, available 24/7, and someone from our team can review this case. Thanks.",2024-07-02 15:10:18,25.29.239,Klarna
fe98c6eb-25dd-40bd-aed6-0b7b6d295477,still won't let me log in to website or Android app. yes I already tried to reinstall and nothing works.,1,1,25.29.239,2025-07-26 20:43:52,"Hi, we're saddened to hear this and we do apologise for the frustration caused by this. Please visit our website and select the Customer Service tab. You'll find information to scroll until you see the ""Can't Sign In?"" option which includes directions on how to reach us so you can regain access to your account.",2025-07-26 20:58:39,25.29.239,Klarna
